warehouse_id,product_sku,product_name,available_quantity,safety_stock_level,reorder_point
WH-001,SKU-LAPTOP-001,Laptop Pro 14,19,15,25
WH-001,SKU-PHONE-002,Smartphone X,36,25,40
WH-001,SKU-TABLET-003,Tablet Air,128,100,110
WH-001,SKU-HEADSET-004,Wireless Headset,159,10,20
WH-001,SKU-MONITOR-005,27-inch Monitor,236,10,60
WH-001,SKU-CAMERA-006,Action Camera,290,100,130
WH-001,SKU-KEYBOARD-007,Mechanical Keyboard,33,30,40
WH-001,SKU-MOUSE-008,Gaming Mouse,135,50,70
WH-001,SKU-PRINTER-009,Office Printer,84,40,50
WH-001,SKU-ROUTER-010,WiFi Router,42,40,60
WH-001,SKU-SPEAKER-011,Bluetooth Speaker,236,80,130
WH-001,SKU-SSD-012,External SSD,235,15,65
WH-002,SKU-LAPTOP-001,Laptop Pro 14,117,40,90
WH-002,SKU-PHONE-002,Smartphone X,12,10,25
WH-002,SKU-TABLET-003,Tablet Air,161,25,35
WH-002,SKU-HEADSET-004,Wireless Headset,118,40,55
WH-002,SKU-MONITOR-005,27-inch Monitor,33,30,40
WH-002,SKU-CAMERA-006,Action Camera,222,100,115
WH-002,SKU-KEYBOARD-007,Mechanical Keyboard,173,30,80
WH-002,SKU-MOUSE-008,Gaming Mouse,23,10,25
WH-002,SKU-PRINTER-009,Office Printer,134,40,70
WH-002,SKU-ROUTER-010,WiFi Router,47,40,55
WH-002,SKU-SPEAKER-011,Bluetooth Speaker,168,80,95
WH-002,SKU-SSD-012,External SSD,309,100,150
WH-003,SKU-LAPTOP-001,Laptop Pro 14,166,50,100
WH-003,SKU-PHONE-002,Smartphone X,92,20,70
WH-003,SKU-TABLET-003,Tablet Air,28,15,30
WH-003,SKU-HEADSET-004,Wireless Headset,207,50,100
WH-003,SKU-MONITOR-005,27-inch Monitor,281,80,130
WH-003,SKU-CAMERA-006,Action Camera,19,10,20
WH-003,SKU-KEYBOARD-007,Mechanical Keyboard,171,30,50
WH-003,SKU-MOUSE-008,Gaming Mouse,127,20,50
WH-003,SKU-PRINTER-009,Office Printer,152,100,115
WH-003,SKU-ROUTER-010,WiFi Router,40,30,80
WH-003,SKU-SPEAKER-011,Bluetooth Speaker,200,40,55
WH-003,SKU-SSD-012,External SSD,74,10,60
WH-004,SKU-LAPTOP-001,Laptop Pro 14,9,15,35
WH-004,SKU-PHONE-002,Smartphone X,190,25,35
WH-004,SKU-TABLET-003,Tablet Air,17,15,25
WH-004,SKU-HEADSET-004,Wireless Headset,246,100,115
WH-004,SKU-MONITOR-005,27-inch Monitor,280,100,115
WH-004,SKU-CAMERA-006,Action Camera,48,50,65
WH-004,SKU-KEYBOARD-007,Mechanical Keyboard,221,25,45
WH-004,SKU-MOUSE-008,Gaming Mouse,28,40,70
WH-004,SKU-PRINTER-009,Office Printer,126,15,30
WH-004,SKU-ROUTER-010,WiFi Router,220,10,60
WH-004,SKU-SPEAKER-011,Bluetooth Speaker,206,25,35
WH-004,SKU-SSD-012,External SSD,43,10,25
WH-005,SKU-LAPTOP-001,Laptop Pro 14,131,40,50
WH-005,SKU-PHONE-002,Smartphone X,251,80,95
WH-005,SKU-TABLET-003,Tablet Air,93,80,95
WH-005,SKU-HEADSET-004,Wireless Headset,243,50,65
WH-005,SKU-MONITOR-005,27-inch Monitor,199,50,70
WH-005,SKU-CAMERA-006,Action Camera,116,10,20
WH-005,SKU-KEYBOARD-007,Mechanical Keyboard,177,15,30
WH-005,SKU-MOUSE-008,Gaming Mouse,176,80,95
WH-005,SKU-PRINTER-009,Office Printer,9,80,95
WH-005,SKU-ROUTER-010,WiFi Router,306,80,130
WH-005,SKU-SPEAKER-011,Bluetooth Speaker,96,100,110
WH-005,SKU-SSD-012,External SSD,173,25,40
WH-006,SKU-LAPTOP-001,Laptop Pro 14,5,25,55
WH-006,SKU-PHONE-002,Smartphone X,16,50,60
WH-006,SKU-TABLET-003,Tablet Air,252,80,100
WH-006,SKU-HEADSET-004,Wireless Headset,160,80,95
WH-006,SKU-MONITOR-005,27-inch Monitor,14,10,60
WH-006,SKU-CAMERA-006,Action Camera,182,40,50
WH-006,SKU-KEYBOARD-007,Mechanical Keyboard,290,100,150
WH-006,SKU-MOUSE-008,Gaming Mouse,57,15,30
WH-006,SKU-PRINTER-009,Office Printer,210,25,55
WH-006,SKU-ROUTER-010,WiFi Router,243,25,75
WH-006,SKU-SPEAKER-011,Bluetooth Speaker,34,15,45
WH-006,SKU-SSD-012,External SSD,26,100,120
